year,Value,Units,variable_code
2021,Level 4,PP113,H08
2021,Level 4,PP113,H09
2021,Level 4,PP113,H10
2021,Level 4,PP113,H11
2021,Level 4,PP113,H12
2021,Level 4,PP113,H13
2021,Level 4,PP113,H19
2021,Level 4,PP113,H20
2021,Level 4,PP113,H21
2021,Level 4,PP113,H22
2021,Level 4,PP113,H23
2021,Level 4,PP113,H24
2021,Level 4,PP113,H25
2021,Level 4,PP113,H26
2021,Level 4,PP113,H27
2021,Level 4,PP113,H28
2021,Level 4,PP113,H29
2021,Level 4,PP113,H30
2021,Level 4,PP113,H31
2021,Level 4,PP113,H32
2021,Level 4,PP113,H33
2021,Level 4,PP113,H36
2021,Level 4,PP113,H37
2021,Level 4,PP113,H39
2021,Level 4,PP113,H40
2021,Level 4,PP113,H41
2021,Level 4,PP114,Dollars (millions)
2021,Level 4,PP114,Dollars (millions)
2021,Level 4,PP114,Dollars (millions)
2021,Level 4,PP114,Dollars (millions)
2021,Level 4,PP114,Dollars (millions)
2021,Level 4,PP114,Dollars (millions)
2021,Level 4,PP114,Dollars (millions)
2021,Level 4,PP114,Dollars (millions)
2021,Level 4,PP114,Dollars (millions)
2021,Level 4,PP114,Dollars (millions)
2021,Level 4,PP114,Dollars (millions)
2021,Level 4,PP114,Dollars (millions)
2021,Level 4,PP114,Dollars (millions)
